run_name	barcode_id	sample_id	primer_scheme
library13-2019-05-23	BC08	TRDP317	ZIKV_KJ776791
library13-2019-05-23	BC09	TRDP333	ZIKV_KJ776791
library13-2019-05-23	BC10	TRDP333	ZIKV_KJ776791
library13-2019-05-23	BC11	NTC13	ZIKV_KJ776791
library13-2019-05-23	BC12	NTC13	ZIKV_KJ776791
library14-2019-07-18	BC01	TRDP257	ZIKV_KJ776791
library14-2019-07-18	BC02	TRDP257	ZIKV_KJ776791
library14-2019-07-18	BC03	TRDP433	ZIKV_KJ776791
library14-2019-07-18	BC04	TRDP433	ZIKV_KJ776791
library14-2019-07-18	BC05	ZK0099_3	ZIKV_KJ776791
library14-2019-07-18	BC06	ZK0099_3	ZIKV_KJ776791
library14-2019-07-18	BC07	ZK0111_3	ZIKV_KJ776791
library14-2019-07-18	BC08	ZK0111_3	ZIKV_KJ776791
library14-2019-07-18	BC09	ZK0649	ZIKV_KJ776791
library14-2019-07-18	BC10	ZK0649	ZIKV_KJ776791
library14-2019-07-18	BC11	NTC14	ZIKV_KJ776791
library14-2019-07-18	BC12	NTC14	ZIKV_KJ776791
library15-2019-11-15	none	LEISHMANIA	LEISHMANIA
library15-2019-11-15	none	LEISHMANIA	LEISHMANIA
library16-2019-11-27	BC01	VIDEF2257	CHIKV_KP164568
library16-2019-11-27	BC02	VIDEF2257	CHIKV_KP164568
library16-2019-11-27	BC03	VIDEF2410	CHIKV_KP164568
library16-2019-11-27	BC04	VIDEF2410	CHIKV_KP164568
library16-2019-11-27	BC05	VIDEF2426	CHIKV_KP164568
library16-2019-11-27	BC06	VIDEF2426	CHIKV_KP164568
library16-2019-11-27	BC07	VIDEF2482	CHIKV_KP164568
library16-2019-11-27	BC08	VIDEF2482	CHIKV_KP164568
library16-2019-11-27	BC09	VIDEF2521	CHIKV_KP164568
library16-2019-11-27	BC10	VIDEF2521	CHIKV_KP164568
library16-2019-11-27	BC11	NTC16	CHIKV_KP164568
library16-2019-11-27	BC12	NTC16	CHIKV_KP164568
library17-2020-01	BC01	ZK0037	CHIKV_KP164568
library17-2020-01	BC02	ZK0037	CHIKV_KP164568
library17-2020-01	BC03	ZK0185	CHIKV_KP164568
library17-2020-01	BC04	ZK0185	CHIKV_KP164568
library17-2020-01	BC05	ZK0194	CHIKV_KP164568
library17-2020-01	BC06	ZK0194	CHIKV_KP164568
library17-2020-01	BC07	ZK0195	CHIKV_KP164568
library17-2020-01	BC08	ZK0195	CHIKV_KP164568
library17-2020-01	BC09	ZK0198	CHIKV_KP164568
library17-2020-01	BC10	ZK0198	CHIKV_KP164568
library17-2020-01	BC11	NTC17	CHIKV_KP164568
library17-2020-01	BC12	NTC17	CHIKV_KP164568
library18-2020-01	BC01	ZK0265	CHIKV_KP164568
library18-2020-01	BC02	ZK0265	CHIKV_KP164568
library18-2020-01	BC03	ZK0266	CHIKV_KP164568
library18-2020-01	BC04	ZK0266	CHIKV_KP164568
library18-2020-01	BC05	ZK0267	CHIKV_KP164568
library18-2020-01	BC06	ZK0267	CHIKV_KP164568
library18-2020-01	BC07	ZK0608	CHIKV_KP164568
library18-2020-01	BC08	ZK0608	CHIKV_KP164568
library18-2020-01	BC09	ZK0641.R1	CHIKV_KP164568
library18-2020-01	BC10	ZK0641.R1	CHIKV_KP164568
library18-2020-01	BC11	NTC18	CHIKV_KP164568
library18-2020-01	BC12	NTC18	CHIKV_KP164568
library19-2020-01	BC01	VIDEF2257_2	CHIKV_KP164568
library19-2020-01	BC02	VIDEF2257_2	CHIKV_KP164568
library19-2020-01	BC03	VIDEF2410_2	CHIKV_KP164568
library19-2020-01	BC04	VIDEF2426_2	CHIKV_KP164568
library19-2020-01	BC05	VIDEF2482_2	CHIKV_KP164568
library19-2020-01	BC06	VIDEF2482_2	CHIKV_KP164568
library19-2020-01	BC07	VIDEF2521_2	CHIKV_KP164568
library19-2020-01	BC08	VIDEF2521_2	CHIKV_KP164568
library19-2020-01	BC09	ZK0196	CHIKV_KP164568
library19-2020-01	BC10	ZK0196	CHIKV_KP164568
library19-2020-01	BC11	NTC19	CHIKV_KP164568
library19-2020-01	BC12	NTC19	CHIKV_KP164568
library21-2020-01	BC01	ZIKA_03.0430_2	ZIKV_KJ776791
library21-2020-01	BC02	ZIKA_03.0430_2	ZIKV_KJ776791
library21-2020-01	BC03	ZIKA_03.0123_2	ZIKV_KJ776791
library21-2020-01	BC04	ZIKA_03.0123_2	ZIKV_KJ776791
library21-2020-01	BC05	ZIKA_03.0292_4	ZIKV_KJ776791
library21-2020-01	BC06	ZIKA_03.0292_4	ZIKV_KJ776791
library21-2020-01	BC07	ZK0075_4	ZIKV_KJ776791
library21-2020-01	BC08	ZK0075_4	ZIKV_KJ776791
library21-2020-01	BC09	ZK0152_2	ZIKV_KJ776791
library21-2020-01	BC10	ZK0152_2	ZIKV_KJ776791
library21-2020-01	BC11	NTC20	ZIKV_KJ776791
library21-2020-01	BC12	NTC20	ZIKV_KJ776791
